Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
1.9500	-68.5655+0.7504i	-78.0813+0.7504i	-77.1369+0.7504i	-92.3547+0.7504i	-66.8887+0.7504i	-89.5602+0.7504i	-57.7286+0.7504i	-92.2184+0.7504i
1.9667	-68.4356+0.7504i	-78.0504+0.7504i	-77.0855+0.7504i	-92.2971+0.7504i	-66.8703+0.7504i	-92.7695+0.7504i	-57.7793+0.7504i	-92.2176+0.7504i
1.9833	-68.2841+0.7504i	-78.0108+0.7504i	-77.0344+0.7504i	-92.2407+0.7504i	-66.8306+0.7504i	-96.4593+0.7504i	-57.8400+0.7504i	-92.2154+0.7504i
2.0000	-68.1232+0.7504i	-77.9904+0.7504i	-76.9870+0.7504i	-92.1905+0.7504i	-66.7736+0.7504i	-100.0873+0.7504i	-57.9097+0.7504i	-92.2132+0.7504i
2.0167	-67.9720+0.7504i	-78.0274+0.7504i	-76.9499+0.7504i	-92.1511+0.7504i	-66.7187+0.7504i	-102.4151+0.7504i	-57.9852+0.7504i	-92.2116+0.7504i
2.0333	-67.8313+0.7504i	-78.1460+0.7504i	-76.9207+0.7504i	-92.1179+0.7504i	-66.6937+0.7504i	-102.4330+0.7504i	-58.0654+0.7504i	-92.2110+0.7504i
2.0500	-67.6914+0.7504i	-78.3628+0.7504i	-76.8928+0.7504i	-92.1027+0.7504i	-66.7144+0.7504i	-100.7528+0.7504i	-58.1516+0.7504i	-92.2109+0.7504i
2.0667	-67.5382+0.7504i	-78.6776+0.7504i	-76.8771+0.7504i	-92.0955+0.7504i	-66.7784+0.7504i	-98.8084+0.7504i	-58.2448+0.7504i	-92.2109+0.7504i
2.0833	-67.3608+0.7504i	-79.0609+0.7504i	-76.8695+0.7504i	-92.0990+0.7504i	-66.8682+0.7504i	-97.4180+0.7504i	-58.3470+0.7504i	-92.2110+0.7504i
2.1000	-67.1567+0.7504i	-79.4748+0.7504i	-76.8685+0.7504i	-92.1109+0.7504i	-66.9638+0.7504i	-96.7450+0.7504i	-58.4605+0.7504i	-92.2120+0.7504i
2.1167	-66.9361+0.7504i	-79.8839+0.7504i	-76.8713+0.7504i	-92.1288+0.7504i	-67.0600+0.7504i	-96.4403+0.7504i	-58.5882+0.7504i	-92.2150+0.7504i
2.1333	-66.7198+0.7504i	-80.2662+0.7504i	-76.8751+0.7504i	-92.1491+0.7504i	-67.1624+0.7504i	-96.1454+0.7504i	-58.7321+0.7504i	-92.2219+0.7504i
2.1500	-66.5259+0.7504i	-80.5860+0.7504i	-76.8774+0.7504i	-92.1672+0.7504i	-67.2681+0.7504i	-95.8072+0.7504i	-58.8877+0.7504i	-92.2333+0.7504i
2.1667	-66.3680+0.7504i	-80.8246+0.7504i	-76.8769+0.7504i	-92.1793+0.7504i	-67.3628+0.7504i	-95.5234+0.7504i	-59.0461+0.7504i	-92.2487+0.7504i
2.1833	-66.2518+0.7504i	-80.9764+0.7504i	-76.8728+0.7504i	-92.1839+0.7504i	-67.4420+0.7504i	-95.3342+0.7504i	-59.1963+0.7504i	-92.2678+0.7504i
2.2000	-66.1766+0.7504i	-81.0535+0.7504i	-76.8666+0.7504i	-92.1823+0.7504i	-67.5267+0.7504i	-95.1958+0.7504i	-59.3280+0.7504i	-92.2888+0.7504i
2.2167	-66.1277+0.7504i	-81.0570+0.7504i	-76.8611+0.7504i	-92.1791+0.7504i	-67.6429+0.7504i	-95.0124+0.7504i	-59.4353+0.7504i	-92.3097+0.7504i
