Time (seconds)	Synchronized Synthetic MI Data (dB)	
15.1301	-57.5361+0.7896i
15.1634	-57.1630+0.7896i
15.1967	-56.7630+0.7896i
15.2300	-56.3116+0.7896i
15.2634	-55.8100+0.7896i
15.2967	-55.2878+0.7896i
15.3300	-54.7634+0.7896i
15.3633	-54.2235+0.7896i
15.3967	-53.7557+0.7896i
15.4300	-53.3164+0.7896i
15.4633	-52.9395+0.7896i
15.4966	-52.6091+0.7896i
15.5300	-52.2939+0.7896i
15.5633	-51.9999+0.7896i
15.5966	-51.7320+0.7896i
15.6299	-51.3769+0.7896i
15.6633	-51.0840+0.7896i
15.6966	-50.7556+0.7896i
15.7299	-50.5491+0.7896i
15.7633	-50.2507+0.7896i
15.7966	-50.0001+0.7896i
15.8299	-49.7514+0.7896i
15.8632	-49.5046+0.7896i
15.8966	-49.2600+0.7896i
15.9299	-48.8992+0.7896i
15.9632	-48.5413+0.7896i
15.9965	-48.1931+0.7896i
16.0299	-47.8817+0.7896i
16.0632	-47.6139+0.7896i
16.0965	-47.4227+0.7896i
16.1298	-47.3527+0.7896i
16.1632	-47.3245+0.7896i
16.1965	-47.2914+0.7896i
16.2298	-47.3226+0.7896i
16.2631	-47.3502+0.7896i
16.2965	-47.3944+0.7896i
16.3298	-47.4672+0.7896i
16.3631	-47.5767+0.7896i
16.3965	-47.6634+0.7896i
16.4298	-47.7800+0.7896i
16.4631	-47.9654+0.7896i
16.4964	-48.1466+0.7896i
16.5298	-48.3476+0.7896i
16.5631	-48.5619+0.7896i
16.5964	-48.7455+0.7896i
16.6297	-48.9342+0.7896i
16.6631	-49.1483+0.7896i
16.6964	-49.3512+0.7896i
16.7297	-49.5214+0.7896i
16.7630	-49.6025+0.7896i
16.7964	-49.6660+0.7896i
16.8297	-49.7088+0.7896i
16.8630	-49.7485+0.7896i
16.8963	-49.7536+0.7896i
16.9297	-49.7988+0.7896i
16.9630	-49.8611+0.7896i
16.9963	-50.2933+0.7896i
17.0296	-50.8721+0.7896i
17.0630	-51.7602+0.7896i
17.0963	-52.8517+0.7896i
17.1296	-53.9825+0.7896i
17.1630	-55.0465+0.7896i
17.1963	-56.0254+0.7896i
17.2296	-56.8850+0.7896i
17.2629	-57.6391+0.7896i
17.2963	-58.2762+0.7896i
17.3296	-58.8672+0.7896i
17.3629	-59.3293+0.7896i
17.3962	-59.7254+0.7896i
17.4296	-59.9723+0.7896i
17.4629	-60.0652+0.7896i
17.4962	-60.0628+0.7896i
17.5295	-60.0026+0.7896i
17.5629	-59.9018+0.7896i
17.5962	-59.7229+0.7896i
17.6295	-59.5199+0.7896i
17.6628	-59.2061+0.7896i
17.6962	-58.8285+0.7896i
17.7295	-58.3016+0.7896i
17.7628	-57.6487+0.7896i
17.7961	-56.8893+0.7896i
17.8295	-56.0723+0.7896i
17.8628	-55.2535+0.7896i
17.8961	-54.4717+0.7896i
17.9295	-53.7042+0.7896i
17.9628	-53.0747+0.7896i
17.9961	-52.4627+0.7896i
18.0294	-51.9575+0.7896i
18.0628	-51.4692+0.7896i
18.0961	-51.0428+0.7896i
18.1294	-50.6865+0.7896i
18.1627	-50.4317+0.7896i
18.1961	-50.3170+0.7896i
18.2294	-50.2694+0.7896i
18.2627	-50.3229+0.7896i
18.2960	-50.4284+0.7896i
18.3294	-50.5933+0.7896i
18.3627	-50.8297+0.7896i
18.3960	-51.1916+0.7896i
18.4293	-51.5501+0.7896i
18.4627	-52.0181+0.7896i
18.4960	-52.5829+0.7896i
18.5293	-53.2049+0.7896i
18.5626	-53.8641+0.7896i
18.5960	-54.5161+0.7896i
18.6293	-55.1410+0.7896i
18.6626	-55.6507+0.7896i
18.6960	-56.1258+0.7896i
18.7293	-56.3728+0.7896i
18.7626	-56.3987+0.7896i
18.7959	-56.4250+0.7896i
18.8293	-56.4041+0.7896i
18.8626	-56.1603+0.7896i
18.8959	-55.8967+0.7896i
18.9292	-55.5510+0.7896i
18.9626	-55.1021+0.7896i
18.9959	-54.6321+0.7896i
19.0292	-54.1550+0.7896i
19.0625	-54.0944+0.7896i
19.0959	-54.0349+0.7896i
19.1292	-53.9765+0.7896i
19.1625	-54.1609+0.7896i
19.1958	-54.5111+0.7896i
19.2292	-54.9383+0.7896i
19.2625	-55.4183+0.7896i
19.2958	-55.8782+0.7896i
19.3291	-56.1398+0.7896i
19.3625	-56.2898+0.7896i
19.3958	-56.3270+0.7896i
19.4291	-56.2778+0.7896i
19.4625	-55.9413+0.7896i
19.4958	-55.5390+0.7896i
19.5291	-55.0356+0.7896i
19.5624	-54.4319+0.7896i
19.5958	-53.7341+0.7896i
19.6291	-52.9936+0.7896i
19.6624	-52.1887+0.7896i
19.6957	-51.3836+0.7896i
19.7291	-50.5414+0.7896i
19.7624	-49.7515+0.7896i
19.7957	-49.0642+0.7896i
19.8290	-48.5027+0.7896i
19.8624	-48.1102+0.7896i
19.8957	-47.9681+0.7896i
19.9290	-47.9774+0.7896i
19.9623	-48.1014+0.7896i
19.9957	-48.3783+0.7896i
20.0290	-49.0111+0.7896i
20.0623	-49.6302+0.7896i
20.0956	-50.2363+0.7896i
20.1290	-50.8297+0.7896i
20.1623	-51.4111+0.7896i
20.1956	-52.1239+0.7896i
20.2290	-52.8883+0.7896i
20.2623	-53.5499+0.7896i
20.2956	-54.2312+0.7896i
20.3289	-54.9469+0.7896i
20.3623	-55.7406+0.7896i
20.3956	-56.6249+0.7896i
20.4289	-57.5430+0.7896i
20.4622	-58.4580+0.7896i
20.4956	-59.3711+0.7896i
20.5289	-60.2733+0.7896i
20.5622	-61.1154+0.7896i
20.5955	-61.9415+0.7896i
20.6289	-62.6961+0.7896i
20.6622	-63.3735+0.7896i
