Time (seconds)	Synchronized Synthetic MI Data (S_21 (dB))	
17.1630	-57.8752+0.7896i
17.1963	-57.8549+0.7896i
17.2296	-57.8239+0.7896i
17.2630	-57.7339+0.7896i
17.2963	-57.5815+0.7896i
17.3296	-57.3347+0.7896i
17.3629	-56.9669+0.7896i
17.3963	-56.5176+0.7896i
17.4296	-55.9983+0.7896i
17.4629	-55.4578+0.7896i
17.4963	-54.9631+0.7896i
17.5296	-54.4933+0.7896i
17.5629	-54.0855+0.7896i
17.5962	-53.7969+0.7896i
17.6296	-53.5745+0.7896i
17.6629	-53.4218+0.7896i
17.6962	-53.2998+0.7896i
17.7295	-53.1569+0.7896i
17.7629	-52.9555+0.7896i
17.7962	-52.7130+0.7896i
17.8295	-52.3954+0.7896i
17.8628	-52.0068+0.7896i
17.8962	-51.5359+0.7896i
17.9295	-51.0307+0.7896i
17.9628	-50.4950+0.7896i
17.9961	-49.9708+0.7896i
18.0295	-49.3939+0.7896i
18.0628	-48.8569+0.7896i
18.0961	-48.2854+0.7896i
18.1295	-47.6798+0.7896i
18.1628	-47.0558+0.7896i
18.1961	-46.4514+0.7896i
18.2294	-45.7874+0.7896i
18.2628	-45.1753+0.7896i
18.2961	-44.5811+0.7896i
18.3294	-44.0760+0.7896i
18.3627	-43.6267+0.7896i
18.3961	-43.3026+0.7896i
18.4294	-43.0759+0.7896i
18.4627	-42.8767+0.7896i
18.4960	-42.6969+0.7896i
18.5294	-42.4946+0.7896i
18.5627	-42.1731+0.7896i
18.5960	-41.7559+0.7896i
18.6293	-41.2694+0.7896i
18.6627	-40.7444+0.7896i
18.6960	-40.2264+0.7896i
18.7293	-39.7329+0.7896i
18.7626	-39.2797+0.7896i
18.7960	-38.8382+0.7896i
18.8293	-38.5482+0.7896i
18.8626	-38.3711+0.7896i
18.8960	-38.1223+0.7896i
18.9293	-37.9819+0.7896i
18.9626	-37.9670+0.7896i
18.9959	-37.9550+0.7896i
19.0293	-37.9771+0.7896i
19.0626	-38.0159+0.7896i
19.0959	-38.0308+0.7896i
19.1292	-38.0952+0.7896i
19.1626	-38.2473+0.7896i
19.1959	-38.5229+0.7896i
19.2292	-38.9769+0.7896i
19.2625	-39.5295+0.7896i
19.2959	-40.2240+0.7896i
19.3292	-40.9786+0.7896i
19.3625	-41.7362+0.7896i
19.3958	-42.4902+0.7896i
19.4292	-43.1992+0.7896i
19.4625	-43.8743+0.7896i
19.4958	-44.4769+0.7896i
19.5292	-45.0207+0.7896i
19.5625	-45.2639+0.7896i
19.5958	-45.6331+0.7896i
19.6291	-46.0384+0.7896i
19.6625	-46.3624+0.7896i
19.6958	-46.7234+0.7896i
19.7291	-47.1214+0.7896i
19.7624	-47.5555+0.7896i
19.7958	-48.0237+0.7896i
19.8291	-48.6055+0.7896i
19.8624	-49.3028+0.7896i
19.8957	-49.9908+0.7896i
19.9291	-50.6762+0.7896i
19.9624	-51.3509+0.7896i
19.9957	-51.9784+0.7896i
20.0290	-52.5237+0.7896i
20.0624	-52.8415+0.7896i
20.0957	-53.1577+0.7896i
20.1290	-53.4724+0.7896i
20.1623	-53.7853+0.7896i
20.1957	-54.0967+0.7896i
20.2290	-54.4063+0.7896i
20.2623	-54.7142+0.7896i
20.2957	-55.0203+0.7896i
20.3290	-55.0909+0.7896i
20.3623	-55.3060+0.7896i
20.3956	-55.5215+0.7896i
20.4290	-55.7374+0.7896i
20.4623	-56.1128+0.7896i
20.4956	-56.5147+0.7896i
20.5289	-56.9353+0.7896i
20.5623	-57.3317+0.7896i
20.5956	-57.7478+0.7896i
20.6289	-58.0938+0.7896i
20.6622	-58.4043+0.7896i
20.6956	-58.6538+0.7896i
20.7289	-58.8480+0.7896i
20.7622	-59.0021+0.7896i
20.7955	-59.1246+0.7896i
20.8289	-59.1761+0.7896i
20.8622	-59.2288+0.7896i
20.8955	-59.2829+0.7896i
20.9289	-59.3382+0.7896i
20.9622	-59.3948+0.7896i
20.9955	-59.4527+0.7896i
21.0288	-59.5118+0.7896i
21.0622	-59.5721+0.7896i
21.0955	-59.6337+0.7896i
21.1288	-59.6964+0.7896i
21.1621	-59.7603+0.7896i
21.1955	-59.8253+0.7896i
21.2288	-59.8915+0.7896i
21.2621	-59.9588+0.7896i
21.2954	-60.0273+0.7896i
21.3288	-60.0968+0.7896i
21.3621	-60.1674+0.7896i
21.3954	-60.2390+0.7896i
21.4287	-60.3117+0.7896i
21.4621	-60.3855+0.7896i
21.4954	-60.6403+0.7896i
21.5287	-60.8623+0.7896i
21.5620	-61.0334+0.7896i
21.5954	-61.0895+0.7896i
21.6287	-61.1454+0.7896i
21.6620	-61.2012+0.7896i
21.6954	-61.2569+0.7896i
21.7287	-61.3125+0.7896i
21.7620	-61.3680+0.7896i
21.7953	-61.4234+0.7896i
21.8287	-61.3989+0.7896i
21.8620	-61.3764+0.7896i
21.8953	-61.3328+0.7896i
21.9286	-61.3088+0.7896i
21.9620	-61.2795+0.7896i
21.9953	-61.2359+0.7896i
22.0286	-61.2102+0.7896i
22.0619	-61.1326+0.7896i
22.0953	-61.0539+0.7896i
22.1286	-60.9494+0.7896i
22.1619	-60.8292+0.7896i
22.1952	-60.7053+0.7896i
22.2286	-60.5587+0.7896i
22.2619	-60.4059+0.7896i
22.2952	-60.2455+0.7896i
22.3286	-60.1059+0.7896i
22.3619	-59.9481+0.7896i
22.3952	-59.8176+0.7896i
22.4285	-59.7162+0.7896i
22.4619	-59.5723+0.7896i
22.4952	-59.4328+0.7896i
22.5285	-59.2393+0.7896i
22.5618	-59.0356+0.7896i
22.5952	-58.8507+0.7896i
22.6285	-58.6860+0.7896i
22.6618	-58.5778+0.7896i
22.6951	-58.4698+0.7896i
22.7285	-58.3862+0.7896i
22.7618	-58.3143+0.7896i
22.7951	-58.2385+0.7896i
22.8284	-58.1634+0.7896i
22.8618	-58.0889+0.7896i
22.8951	-58.0151+0.7896i
22.9284	-57.9421+0.7896i
22.9617	-57.8698+0.7896i
22.9951	-57.7983+0.7896i
23.0284	-57.7276+0.7896i
23.0617	-57.6239+0.7896i
23.0951	-57.5136+0.7896i
23.1284	-57.4029+0.7896i
23.1617	-57.2919+0.7896i
23.1950	-57.1805+0.7896i
23.2284	-57.1197+0.7896i
23.2617	-57.0377+0.7896i
23.2950	-56.9578+0.7896i
23.3283	-56.8799+0.7896i
23.3617	-56.8040+0.7896i
23.3950	-56.7301+0.7896i
23.4283	-56.4030+0.7896i
23.4616	-56.0103+0.7896i
23.4950	-55.6816+0.7896i
23.5283	-55.3872+0.7896i
23.5616	-55.0893+0.7896i
23.5949	-54.7394+0.7896i
23.6283	-54.4207+0.7896i
23.6616	-54.0298+0.7896i
23.6949	-53.6630+0.7896i
23.7283	-53.3063+0.7896i
23.7616	-52.9912+0.7896i
23.7949	-52.9093+0.7896i
23.8282	-52.8731+0.7896i
23.8616	-52.8835+0.7896i
23.8949	-52.9239+0.7896i
23.9282	-53.0887+0.7896i
23.9615	-53.3040+0.7896i
23.9949	-53.5359+0.7896i
24.0282	-53.7786+0.7896i
24.0615	-54.0772+0.7896i
24.0948	-54.3162+0.7896i
24.1282	-54.4066+0.7896i
24.1615	-54.4636+0.7896i
24.1948	-54.4998+0.7896i
24.2281	-54.5465+0.7896i
24.2615	-54.5769+0.7896i
24.2948	-54.5902+0.7896i
24.3281	-54.5970+0.7896i
24.3614	-54.6088+0.7896i
24.3948	-54.6075+0.7896i
24.4281	-54.6373+0.7896i
24.4614	-54.8740+0.7896i
24.4948	-55.1994+0.7896i
24.5281	-55.5059+0.7896i
24.5614	-55.7092+0.7896i
24.5947	-55.8318+0.7896i
24.6281	-55.9987+0.7896i
24.6614	-55.9844+0.7896i
24.6947	-55.9701+0.7896i
24.7280	-55.9559+0.7896i
24.7614	-55.9417+0.7896i
24.7947	-55.9275+0.7896i
24.8280	-55.9133+0.7896i
24.8613	-55.9143+0.7896i
24.8947	-55.8721+0.7896i
24.9280	-55.8065+0.7896i
24.9613	-55.7631+0.7896i
24.9946	-55.7064+0.7896i
25.0280	-55.5037+0.7896i
25.0613	-55.2216+0.7896i
25.0946	-54.8759+0.7896i
25.1280	-54.4164+0.7896i
25.1613	-53.9016+0.7896i
25.1946	-53.2528+0.7896i
25.2279	-52.5138+0.7896i
25.2613	-51.7188+0.7896i
25.2946	-50.8750+0.7896i
25.3279	-50.1046+0.7896i
25.3612	-49.4183+0.7896i
25.3946	-48.9070+0.7896i
25.4279	-48.7373+0.7896i
25.4612	-48.6760+0.7896i
25.4945	-48.5937+0.7896i
25.5279	-48.4675+0.7896i
25.5612	-48.4265+0.7896i
25.5945	-48.3858+0.7896i
25.6278	-48.2829+0.7896i
25.6612	-48.1632+0.7896i
25.6945	-48.0173+0.7896i
25.7278	-47.7983+0.7896i
25.7611	-47.5331+0.7896i
25.7945	-47.2428+0.7896i
25.8278	-46.9922+0.7896i
25.8611	-46.7361+0.7896i
25.8945	-46.4805+0.7896i
25.9278	-46.3212+0.7896i
25.9611	-46.1253+0.7896i
25.9944	-45.9412+0.7896i
26.0278	-45.7351+0.7896i
26.0611	-45.4235+0.7896i
26.0944	-45.0541+0.7896i
26.1277	-44.6094+0.7896i
26.1611	-44.1073+0.7896i
26.1944	-43.5829+0.7896i
26.2277	-43.0185+0.7896i
26.2610	-42.3967+0.7896i
26.2944	-41.7986+0.7896i
26.3277	-41.1930+0.7896i
26.3610	-40.5749+0.7896i
26.3943	-40.0665+0.7896i
26.4277	-39.6667+0.7896i
26.4610	-39.5188+0.7896i
